kmeans_cluster,datetime_hour,svr1,upload_bitrate_mbps,download_bitrate_mbps,target_latency,target_throughput,latency_lag_1h,throughput_lag_1h,latency_rolling_3h,throughput_rolling_3h,latency_rolling_6h,throughput_rolling_6h,hour_sin,hour_cos,dow_sin,dow_cos,hour_of_day,day_of_week,zone_count
0,2022-07-12 01:00:00,43.01315789473684,9.70890410958904,13.318115154065584,61.545512820512826,34.478,43.316356382978725,25.12221824686941,52.80426664959273,25.485960130343116,56.06964984606779,29.447539919065125,0.2588190451025207,0.9659258262890684,0.7818314824680298,0.6234898018587336,1,1,23
0,2022-07-12 02:00:00,57.77849490691956,10.5,20.31329402515723,62.80351731601732,54.066584515844426,54.89990701999071,21.938202172087237,64.657395897689,26.53033918448356,63.25376971913737,31.857563616226326,0.4999999999999999,0.8660254037844387,0.7818314824680298,0.6234898018587336,2,1,38
0,2022-07-12 03:00:00,44.7008695652174,14.96641791044776,44.7,57.31136363636363,35.16153846153846,63.95084745762712,34.053548387096775,67.71400679196864,35.894797908963405,65.769633742212,40.20366401264432,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336,3,1,29
0,2022-07-12 04:00:00,66.95460168697282,15.25923469387755,47.89232142857143,86.79645161290323,97.3332584269663,33.95738202811245,54.614512315270936,53.80623316377768,50.60653894160556,59.03751666620364,37.36526355243032,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,4,1,1
0,2022-07-12 05:00:00,82.52516129032257,21.3214606741573,76.01179775280899,66.44108556832695,100.64998890122088,81.15184864104968,63.15155612244898,67.30189409402179,71.69977562156207,62.984226404717816,49.992211852349534,0.9659258262890684,0.2588190451025207,0.7818314824680298,0.6234898018587336,5,1,1
0,2022-07-12 19:00:00,49.4890827147402,5.9101534044298605,18.652830188679246,63.942651098901095,36.239300144300145,63.51211873638344,30.353045454545455,63.74590768473955,32.21342054357975,65.51207074032965,32.850741056240466,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,19,1,26
0,2022-07-12 20:00:00,42.534509290607865,14.50679390104761,25.794101066243194,44.30820260945336,30.934015241682538,54.88077319823951,25.104887236474838,55.466032765919564,31.248720500220863,68.26215428289316,30.46318811576603,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,20,1,16
0,2022-07-12 21:00:00,38.93455459770115,13.883977900552486,17.40032448377581,41.54050424281984,28.42567567567568,48.54655425219941,38.28997506234414,54.74116709966451,31.963713312298704,57.10879171727688,30.04617656855769,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,21,1,17
0,2022-07-12 22:00:00,61.97567567567568,13.138461538461538,20.264110320284697,53.22859848484848,32.26130434782608,51.36169950738916,33.07814225397857,61.20528752864095,32.16438638285327,61.33711520150487,30.402348373030947,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,22,1,37
0,2022-07-12 23:00:00,45.85909090909091,13.738383838383838,18.137734375,79.04816017316017,34.972202216066485,59.97950819672131,37.552721088435376,65.06846853038765,39.18069520859339,65.68678572863244,33.27844336061391,-0.2588190451025215,0.965925826289068,0.7818314824680298,0.6234898018587336,23,1,43
